1024核工厂,8730,downmn.pw/downmz.pw/downmn.xyz/downmn.rocks/downmz.rocks/downmm.com/downsx.xyz/downsx.rocks/1024wanzhai.rocks/lufi99.club/97cnlp.rocks/lufi99.org/91sgc.rocks/1024yxy.rocks
Pornhub,8029,pornhub.com
草榴社區,7688,t66y.com/etet.men/dety.men/cbcb.us/o5b.club/flexui.win/s5r.club/e8v.club/he3.club/xz0.club/3hu.club/br8.club
JavBus,6104,javbus.com/seedmm.net/busjav.cc/busjav.net/xwb2uooia5o59avwxb.com/seedmm.cc/javbus.work/dmmsee.net/javbus.info/busdmm.net/javbus2.pw/dmmbus.cc/javbus.pw
JavLibrary,4419,javlibrary.com/o23g.com/w24j.com/k25m.com/d21b.com
XVIDEOS,4068,xvideos.com
91PORN,3583,91porn.com/p03.space/91p23.space/t7k.space/91p12.space/p04.space/p02.space/91p14.space/91p27.space
pixiv,3350,pixiv.net
ExHentai,2756,exhentai.org
琉璃神社,2498,llss.ms/liuli.eu/liuli.in/hacg.me/llss.lol/llss.mx
桃花族论坛,2316,thzbt.co/thzdz.com
南+ South Plus/北+ North Plus,2133,south-plus.net/white-plus.net
AVMOO,2039,avmoo.net/avmoo.pw
幻想次元,1499,acg18.us
E-Hentai,1446,e-hentai.org
FANZA,1412,dmm.co.jp
Avgle,1297,avgle.com
JAVHD,1268,javhd.com/javhdasia.com
SexInSex,1261,sexinsex.net
绯月Galgame,1165,9moe.com/2dkf.com
紳士の庭,1135,gmgard.com
AVMOO/AVMEMO/AVSOX (书签),1063,tellme.pw
Chaturbate,1042,chaturbate.com
比思論壇,938,hk-pic4.xyz/bi-si.xyz/hkbbcc.xyz
第一会所,921,sis001.com
DLsite,842,dlsite.com
Sankaku Complex,810,sankakucomplex.com
nhentai,810,nhentai.net
紳士漫畫,796,wnacg.org/wnacg.com
灵梦御所,793,reimu.net
PLAYNO.1玩樂達人,788,playno1.com
xHamster,785,xhamster.com
吐槽弹幕网,733,tucao.one
XNXX,731,xnxx.com
ZodGame,717,zodgame.us
桃花族论坛,704,thzdz.com
宅男福利社,701,zhainanfulishe.com
Iwara,681,iwara.tv
男人团,612,nanrenvip.xyz/nanrenvip8.net
SS同盟,588,sstm.moe
gif出处吧,570,xiugif.com
绯月Galgame,568,9moe.com/2dkf.com
萌幻之乡,559,huan.moe
2DFan,554,2dfan.com
AVSOX,554,avsox.net
狩都高速,550,japonx.vip
2DJGAME,547,2djgame.net
R18,533,r18.com
JAV MOST,530,javmost.com
捷克論壇,517,jkforum.net
The Porn Dude,489,theporndude.com
伊莉討論區,479,eyny.com
JAV321,477,jav321.com
KissJAV,465,kissjav.com
司机会所,450,xiuxiqu.org
爱弹幕,447,idanmu.at
魔性论坛,445,moxing.mba
AGREE美少女游戏联盟,444,galgamezo.cc
我的Galgame资源发布站,427,mygalgame.com
Danbooru,427,donmai.us
Getchu,420,getchu.com
YouPorn,418,youporn.com
SpankBang,414,spankbang.com
留园网,408,cool18.com
GIF发源地,403,gifjia5.com
Mikocon,380,mikocon.com
國模網,373,guomoo.pw/guomoo.cc
JAV Torrent Link,367,javtorrent.re
LiveJasmin,362,livejasmin.com
性吧,361,sex8.cc
4chan,349,4chan.org
卡提諾論壇,346,ck101.com
星空论坛,341,seikuu.com
Brazzers,332,brazzersnetwork.com
JAV HD Quality,328,maxjav.com
Redtube,327,redtube.com
MyFreeCams,326,myfreecams.com
WatchMyGirlfriend,293,watchmygirlfriend.tv
JAVFOR.ME,292,javfor.me
寂月神社,284,jiyue.moe
色花堂,281,djdsht.com
Seku,277,seku.tv
喵绅士,271,hcomic.in
Pornhub Premium,268,pornhubpremium.com
HPJAV,267,hpjav.tv
Hentai Heroes,266,hentaiheroes.com
福利吧,265,lao4g.com/fuliba.net
Xtube,263,xtube.com
六六社,261,liuliushe.com
OneJAV,248,onejav.com
TOM97番号网,246,tom97.com
终点分享,243,zdfx.net
WANIMAL,241,wanimal1983.org
7mm,237,7mm.tv
konachan,235,konachan.com
香港討論區,233,discuss.com.hk
Anime-Sharing,230,anime-sharing.com
AV.Movie,229,av.movie
Flirt4Free,226,flirt4free.com
素人系総合,224,sougouwiki.com
少女偶像,223,youivr.com/youiv.tv
喵窝,220,nyavo.com
番号库,219,shuangla.net
エロ動画,219,eroterest.net
YouJizz,216,youjizz.com
春滿四合院,212,spring4u.info
SEX,211,sex.com
Nutaku,206,nutaku.net
MGS動画,204,mgstage.com
TXXX,203,txxx.com
Gelbooru,200,gelbooru.com
FC2コンテンツマーケット(电子市场),182,adult.contents.fc2.com
CXC星宫BT,181,cosxcos.net
Thumbzilla,181,thumbzilla.com
18P2P,177,18board.com/18p2p.com
SEX169,176,b1b1s9.com
MYHD1080,176,lsj1080.tv
公仔箱論壇,176,tvboxnow.com
啪啪啪研习所,173,jav101.com
JavArchive,172,javarchive.com
Tube8,167,tube8.com
BLACKED,164,blacked.com
Jav Guru,162,jav.guru
BongaCams,162,bongacams.com
141 JAV,156,141jav.com
Alabout,154,alabout.com
TOKYO Motion,153,tokyomotion.net
カリビアンコム,152,caribbeancom.com
PORN.COM,151,porn.com
F95zone,149,f95zone.com
GORPG,149,gorpg.club
JavDoe,149,javdoe.com
Free Adult Games,147,freeadult.games
第六天魔王,145,mo5577.net
ThisAV,142,thisav.com
WAIN資源組,141,mm-cg.com
JAVOUT,139,javout.net
Fantia,137,fantia.jp
LoversLab,137,loverslab.com
AV岛,134,avdao.pw
JavWhores,130,javwhores.com
Free JAV Share,129,javfree.me
PornHD,129,pornhd.com
DLsite,128,dlsite.net
Porn77,128,porn77.info
みんなのAV,127,minnano-av.com
POPJAV,126,popjav.tv
番号鸽,123,javdove.com
Celebrity Movie Archive,122,celebritymoviearchive.com
177漫畫,122,177pic.info
Komica2,121,komica2.net
PornTrex,119,porntrex.com
JavStore,117,javstore.net
GGBases,117,ggbases.com
X-Art,117,x-art.com
アルゾン(あるぞん)(ARZON),117,arzon.jp
EPORNER,117,eporner.com
瘋AV,116,airav.cc
亚洲性爱城,115,aisex.com
Jav streaming,114,streamjav.net
AT-Mania,111,at-mania.com
AV HD 101,109,avhd101.com
翻墙撸,109,fanqianglu.com
AV01,108,av01.tv
ManyVids,108,manyvids.com
xHamster Live,107,xhamsterlive.com
好色TV,106,hsex.tv
Studio F.O.W.,105,studiofow.com
Maddawg JAV,103,maddawgjav.net
PRESTIGE,102,prestige-av.com
艾薇资讯,101,aiweinews.com
亚色,100,yase555.com
同人誌 エロ本表紙ネット,99,hentai-covers.site
Akiba-Online,99,akiba-online.com
YourPorn Sexy,98,yourporn.sexy
Kink,98,kink.com
とらのあな(TORANOANA),97,toranoana.jp
HELLVEN,97,hellven.net
メロンブックス(Melonbooks),96,melonbooks.co.jp
LegalPorno,96,legalporno.com
Heydouga,95,heydouga.com